"year","migration_type","northeast","midwest","south","west"
1984,"Net migration (including abroad)",122,-141,809,288
1983,"Inmigrants",439,661,1211,880
1983,"Outmigrants",625,947,973,645
1983,"Net internal migration",-186,-286,238,235
1983,"Movers from abroad",192,149,323,315
1983,"Net migration (including abroad)",6,-137,561,550
1982,"Inmigrants",473,793,1482,931
1982,"Outmigrants",685,1163,1012,819
1982,"Net internal migration",-212,-370,470,112
1982,"Movers from abroad",229,134,401,324
1982,"Net migration (including abroad)",17,-236,871,436
1981,"Inmigrants",464,650,1377,871
1981,"Outmigrants",706,1056,890,710
1981,"Net internal migration",-242,-406,487,161
1981,"Movers from abroad",207,180,412,514
1981,"Net migration (including abroad)",-35,-226,899,675
